company,paddle,thinkness,power_percentile,spin_percentile,twist_percentile,balance_percentile,swing_percentile,pop_percentile,shape,face_material,handle_length,spin_rpm,swing_weight,twist_weight,core_material,surface_texture,length,width,static_weight,balance_point_cm,serve_speed_mph,punch_volley_speed
GRÜVN,Raw-16R,16,0.09,0.11,0.73,0.05,0.02,0.08,Wide Body,T700 Carbon Fiber,5.25,"1,597",97.3,6.72,Polypropylene Honeycomb,Peel Ply-Coarse,15.6,8.2,7.7,22.6,52.6,33.4
GRÜVN,Raw-16RX,16,0.13,0.28,0.16,0.81,0.70,0.26,Elongated,T700 Carbon Fiber,6,"1,877",119,5.7,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.4,7.8,24.5,52.8,34.2
GRÜVN,Raw-16S,16,0.28,0.76,0.81,0.17,0.09,0.13,Wide Body,T700 Carbon Fiber,5.3,"2,202",105.3,6.83,Polypropylene Honeycomb,Peel Ply-Coarse,15.7,8.1,7.8,23.3,54.1,33.6
GRÜVN,Raw-16V,16,0.16,0.68,0.96,0.10,0.04,0.08,Wide Body,T700 Carbon Fiber,4.75,"2,152",100.2,7.32,Polypropylene Honeycomb,Peel Ply-Coarse,15.5,8.1,7.8,22.9,52.9,33.4
GRÜVN,Raw-16X,16,0.25,0.68,0.33,0.81,0.84,0.16,Elongated,T700 Carbon Fiber,5.5,"2,152",122,6.07,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.4,8,24.5,53.8,33.8
GRYP,Balance 1 - 10g cap,15,0.39,0.59,0.37,0.06,0.38,0.40,Elongated,T700 Carbon Fiber,5.5,"2,107",113,6.15,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,8.3,22.7,54.6,34.7
GRYP,Balance 1 - 30g cap,15,0.73,0.48,0.31,0.01,0.41,0.76,Elongated,T700 Carbon Fiber,5.5,"2,042",114,6,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,8.9,21,55.7,35.7
Honolulu Pickleball Co.,J2K,16,0.64,0.58,0.86,0.33,0.50,0.80,Hybrid,Dupont Kevlar,5.5,"2,101",115.4,7,Polypropylene Honeycomb,Peel Ply-Coarse,16.2,7.8,8.2,23.7,55.5,35.8
Honolulu Pickleball Co.,J2K Pro,16,0.66,0.49,0.81,0.21,0.24,0.82,Hybrid,Dupont Kevlar,5.5,"2,044",110,6.84,Polypropylene Honeycomb,Peel Ply-Coarse,16.2,7.8,7.9,23.4,55.6,35.9
Honolulu Pickleball Co.,J2K with 10 grams tungsten tape,16,0.48,0.58,0.97,0.17,0.39,0.59,Hybrid,Dupont Kevlar,5.5,"2,101",113.4,7.35,Polypropylene Honeycomb,Peel Ply-Coarse,16.2,7.8,8.4,23.3,54.9,35.2
Honolulu Pickleball Co.,J2K with 6 grams tungsten tape & 28-gram Slyce cap,16,0.66,0.58,1.00,0.01,0.69,0.84,Hybrid,Dupont Kevlar,5.5,"2,101",118.8,7.67,Polypropylene Honeycomb,Peel Ply-Coarse,16.2,7.8,9.4,21.7,55.6,36
Honolulu Pickleball Co.,J3K,16,0.51,0.36,0.93,0.48,0.52,0.87,Standard,Dupont Kevlar,6,"1,959",115.9,7.23,Polypropylene Honeycomb,Peel Ply-Coarse,16,8,8.2,23.9,55,36.2
Honolulu Pickleball Co.,J3K Pro,16,0.46,0.38,0.87,0.24,0.33,0.82,Standard,Dupont Kevlar,6,"1,973",111.6,7.05,Polypropylene Honeycomb,Peel Ply-Coarse,16,8,8.1,23.5,54.8,35.9
Honolulu Pickleball Co.,J7K Pro,16,0.81,0.91,0.37,0.48,0.60,0.50,Standard,Dupont Kevlar,5.5,"2,285",116.9,6.14,Polypropylene Honeycomb,Peel Ply-Coarse,16.6,7.3,8,23.9,56,35
