Paddle Name,Brand,Price,Discount Code,Link to Paddle,Year Released,Shape,Face Material,Grit Type,Build Type,Paddle Type,Core Thickness (mm),Grip Length (in),Grip Size (in),Weight (oz),Spin Rating,Spin (RPM),Swingweight,Swingweight Percentile,Twistweight,Twistweight Percentile,Balance Point (mm),Power (MPH),Power Percentile,Pop (MPH),Pop Percentile
Scorpeus (16 mm),JOOLA,$249.99,PBEFFECT,https://a8qh.short.gy/S16,2023,Standard,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.25,4.25,8.02,Low,1845,113,33%,6.86,81%,238,50.8,3%,32.6,9%
Scorpeus 3S (14mm),JOOLA,$279.95,PBEFFECT,https://a8qh.short.gy/3SS14,2024,Standard,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.50,4.13,7.85,Very High,2068,111,22%,6.78,76%,240,54.1,81%,34.4,75%
Scorpeus 3S (16mm),JOOLA,$279.95,PBEFFECT,https://a8qh.short.gy/S3S16,2024,Standard,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,4.25,8.12,Very High,2011,116,54%,7.23,94%,241,54.6,92%,35.1,95%
Hyperion 3S (16mm),JOOLA,$279.95,PBEFFECT,https://a8qh.short.gy/H3S16,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,4.25,7.89,Very High,2010,115,45%,6.10,30%,243,55.0,95%,34.5,77%
Persues 3S (16mm),JOOLA,$279.95,PBEFFECT,https://a8qh.short.gy/P3S16,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,4.25,8.00,Very High,1983,121,80%,6.27,42%,245,55.3,96%,34.5,77%
One,Mark,$159.99,PBEFFECT,https://a8qh.short.gy/One,2024,Hybrid,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.30,4.13,8.18,,,119,73%,6.57,65%,242,,,,
OneX,Mark,$159.99,PBEFFECT,https://a8qh.short.gy/OneX,2024,Hybrid,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.75,4.13,7.94,,,117,60%,6.46,57%,244,,,,
Two,Mark,$159.99,PBEFFECT,https://a8qh.short.gy/M2,2024,Elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.30,4.13,8.24,,,123,87%,6.66,70%,245,,,,
Havik-15 All-Court,Maverix,$180.00,PBEFFECT,https://a8qh.short.gy/15AC,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Control,15,5.30,4.13,8.18,Medium,1893,118,67%,6.57,65%,239,53.3,47%,34.0,56%
Havik-15 Pro,Maverix,$200.00,PBEFFECT,https://a8qh.short.gy/15Pro,2024,Elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,15,5.30,4.13,8.23,Medium,1889,118,67%,6.46,57%,240,53.6,56%,34.5,77%
Flare Prime X,Neonic,$139.99,PBEFFECT,https://a8qh.short.gy/FPX14,2024,Widebody,Carbon,Raw Texture/Peel Ply,,,14,5.50,4.13,7.77,Very High,2003,107,8%,6.75,74%,237,53.7,60%,33.6,39%
Flare Titanium 16mm,Neonic,$149.99,PBEFFECT,https://a8qh.short.gy/FT16,2024,Standard,Titanium/Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.50,4.13,8.15,Very High,2015,114,38%,7.06,89%,239,53.3,46%,33.5,34%
Flow,Neonic,$129.99,PBEFFECT,https://a8qh.short.gy/Flow,2024,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.20,4.13,8.14,High,1914,117,60%,6.58,67%,238,52.3,23%,32.7,12%
Force,Neonic,$99.99,PBEFFECT,https://a8qh.short.gy/force16,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.30,4.13,8.06,Low,1814,116,54%,6.35,47%,238,52.4,24%,32.8,13%
Bantam ALW-C 12.7 New Version,Paddletek,$250.00,N/A,https://a8qh.short.gy/alw12,2024,Standard,Carbon,Raw Texture/Peel Ply,Gen 1,Power,13,5.25,4.25,7.55,Very High,2083,102,1%,6.54,63%,234,53.8,64%,35.0,92%
Bantam ALW-C 14.3 New Version,Paddletek,$250.00,N/A,https://a8qh.short.gy/alw14,2024,Standard,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,14,5.25,4.25,7.70,Very High,2056,105,4%,6.50,60%,237,53.5,52%,34.2,69%
Bantam ESQ-C 12.7,Paddletek,$250.00,N/A,https://a8qh.short.gy/esq12,2024,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1,Power,13,5.50,4.25,7.82,Very High,2071,103,2%,6.78,76%,236,54.0,75%,35.1,95%
Bantam ESQ-C 14.3,Paddletek,$250.00,N/A,https://a8qh.short.gy/esq14,2024,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,14,5.50,4.25,7.85,Very High,2059,106,6%,6.69,71%,232,53.7,60%,34.5,77%
Bantam TKO-C 12.7mm,Paddletek,$229.99,N/A,https://a8qh.short.gy/C12.7,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Power,13,5.25,4.25,7.78,High,1903,114,38%,6.60,67%,243,54.6,92%,35.5,98%
Bantam TKO-C 14.3mm,Paddletek,$229.99,N/A,https://a8qh.short.gy/C14.3,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Power,14,5.25,4.25,7.75,High,1910,115,45%,6.48,59%,245,54.8,93%,35.3,97%
Bantam TKO-CX 12.7,Paddletek,$229.99,N/A,https://a8qh.short.gy/CX12.7,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Power,13,5.75,4.25,7.82,,,117,60%,6.97,86%,247,,,,
Bantam TKO-CX 14.3,Paddletek,$229.99,N/A,https://a8qh.short.gy/CX14.3,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Power,14,5.75,4.25,8.06,,,123,87%,7.35,95%,250,,,,
Tempest TKO-C 14.3,Paddletek,$229.99,N/A,https://a8qh.short.gy/T14.3,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,14,5.25,4.25,8.13,Low,1848,120,77%,6.43,54%,245,54.0,75%,33.8,48%
Tempest Wave Pro-C,Paddletek,$209.99,N/A,https://a8qh.short.gy/WPro,2024,Standard,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,14,5.25,4.25,7.92,Low,1835,108,10%,6.98,86%,236,52.6,29%,33.7,45%
Pro Line Energy,Pickleball Apes,$149.99,PBEFFECT,https://a8qh.short.gy/ApesE,2023,Extra-elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,Power,17,6.25,4.25,8.16,,,127,97%,5.89,19%,248,53.0,34%,,
Pro Line Energy S,Pickleball Apes,$169.99,PBEFFECT,https://a8qh.short.gy/ApesES,2023,Hybrid,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,17,5.50,4.25,8.10,,,116,54%,6.26,41%,238,50.2,2%,,
Pulse E,Pickleball Apes,$199.99,PBEFFECT,https://a8qh.short.gy/PulseE ,2024,Extra-elongated,Kevlar/Nylon,Raw Texture/Peel Ply,Gen 3,All-Court,17,6.25,4.25,8.26,Very High,1986,127,97%,5.89,19%,247,53.8,64%,33.8,48%
Pulse S,Pickleball Apes,$199.99,PBEFFECT,https://a8qh.short.gy/PulseS ,2024,Hybrid,Kevlar/Nylon,Raw Texture/Peel Ply,Gen 3,Control,17,5.50,4.25,7.98,Very High,1971,114,38%,6.24,41%,240,53.0,34%,34.1,63%
Pulse V,Pickleball Apes,$199.99,PBEFFECT,https://a8qh.short.gy/PulseV ,2024,Standard,Kevlar/Nylon,Raw Texture/Peel Ply,Gen 3,Control,17,5.50,4.25,8.13,Very High,1978,112,26%,7.37,96%,237,52.8,31%,34.0,56%
Hurricane Pro 14mm,PIKKL,$159.99,PBEFFECT,https://a8qh.short.gy/HP14,2024,Standard,Carbon,Raw Texture/Peel Ply,Gen 2,Control,14,5.50,4.25,7.83,Very High,1979,108,10%,6.67,70%,237,51.3,11%,33.5,34%
Hurricane Pro 16mm,PIKKL,$159.99,PBEFFECT,https://a8qh.short.gy/H16,2024,Standard,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.50,4.25,7.90,Very High,1991,111,22%,6.95,85%,238,51.0,4%,33.3,27%
Vantage Pro 14mm,PIKKL,$139.99,PBEFFECT,https://a8qh.short.gy/VP14,2023,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2,Control,14,5.30,4.25,8.04,Very High,1998,115,45%,6.28,43%,236,51.4,11%,,
Vantage Pro 16mm,PIKKL,$139.99,PBEFFECT,https://a8qh.short.gy/VP16,2023,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.30,4.25,8.40,Very High,1996,121,80%,6.69,71%,237,51.8,17%,,
Black Ace 14,Prokennex,$279.00,PBEFFECT,https://a8qh.short.gy/BA14,2024,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1.5/Edgeless,All-Court,14,5.30,4.00,7.80,Very High,2042,102,1%,6.57,65%,224,53.0,34%,35.0,92%
Black Ace 16,Prokennex,$279.00,PBEFFECT,https://a8qh.short.gy/BA16,2024,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1.5/Edgeless,Control,16,5.30,4.00,8.00,Very High,2056,109,14%,6.92,83%,234,53.5,52%,34.2,69%
Black Ace LG 14,Prokennex,$279.00,PBEFFECT,https://a8qh.short.gy/LG14,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1.5/Edgeless,Power,14,5.10,4.00,7.80,Very High,2056,107,8%,5.60,6%,229,53.8,64%,35.0,92%
Black Ace XF 14,Prokennex,$279.00,PBEFFECT,https://a8qh.short.gy/XF14,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1.5/Edgeless,All-Court,14,5.90,4.00,7.80,Very High,1993,101,1%,5.40,2%,221,52.8,31%,34.3,73%
Series 1 Type A Elongated 11mm,Proton,$280.00,PBEFFECT,https://a8qh.short.gy/S1AE11,2024,Elongated,Carbon,Nanotak,Gen 1,,11,5.50,4.25,8.14,,,124,92%,5.91,22%,247,,,,
Series 1 Type A Elongated 15mm,Proton,$280.00,PBEFFECT,https://a8qh.short.gy/1AE15,2024,Elongated,Carbon,Nanotak,Gen 1,,15,5.50,4.25,8.60,High,1938,135,99%,6.52,61%,251,54.0,75%,33.8,48%
Series 1 Type A Square Shape 11mm,Proton,$280.00,PBEFFECT,https://a8qh.short.gy/1AS11,2024,Widebody,Carbon,Nanotak,Gen 1,,11,5.25,4.25,7.96,Very High,2000,114,38%,6.59,67%,242,52.5,25%,34.0,56%
Series 2,Proton,$220.00,PBEFFECT,https://a8qh.short.gy/S2,2024,Hybrid,Carbon,Paint Grit,Gen 1/Edgeless,,15,5.38,4.25,8.38,,,121,80%,5.92,23%,240,,,,
Series 3,Proton,$250.00,PBEFFECT,https://a8qh.short.gy/S3,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,,16,5.30,4.25,8.20,,,124,92%,6.88,82%,245,,,,
Series 4,Proton,$300.00,PBEFFECT,https://a8qh.short.gy/S4,2024,Elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2/Edgeless,,16,5.30,4.25,7.80,High,1944,111,22%,5.51,4%,237,53.0,34%,32.6,9%
Sweet Spot 13,ProXR,$210.00,PBEFFECT,https://a8qh.short.gy/SP13,2024,Standard,Carbon,Raw Texture/Peel Ply,Gen 2,,13,5.25,4.00,8.10,,,115,45%,6.99,87%,238,,,,
"Zane Navtratil ""The Standard""",ProXR,$209.99,PBEFFECT,,2023,Standard,Carbon,Raw Texture/Peel Ply,Gen 1.5,Control,16,5.00,4.00,8.26,,,106,6%,7.04,88%,222,,,,
