Paddle Name,Brand,Price,Discount Code,Link to Paddle,Year Released,Shape,Face Material,Grit Type,Build Type,Paddle Type,Core Thickness (mm),Grip Length (in),Grip Size (in),Weight (oz),Spin Rating,Spin (RPM),Swingweight,Swingweight Percentile,Twistweight,Twistweight Percentile,Balance Point (mm),Power (MPH),Power Percentile,Pop (MPH),Pop Percentile
Double Black Diamond 14 mm,Six Zero,$179.99,PBEFFECT,https://a8qh.short.gy/DBD,2023,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.50,4.25,7.87,High,1925,110,17%,6.18,36%,237,51.6,14%,34.8,88%
Double Black Diamond 16 mm,Six Zero,$179.99,PBEFFECT,https://a8qh.short.gy/DBD,2023,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.25,8.07,,,114,38%,6.55,64%,237,51.8,17%,33.8,48%
Double Black Diamond Infinity 16mm,Six Zero,$220.00,PBEFFECT,https://a8qh.short.gy/DBDI,2023,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2/Edgeless,Control,16,5.50,4.25,8.10,,,110,17%,5.90,21%,231,,,,
Quartz,Six Zero,$89.99,PBEFFECT,https://a8qh.short.gy/Q,2024,Standard,Carbon,Raw Texture/Peel Ply,Gen 1,Control,15,5.00,4.25,7.97,High,1949,108,10%,6.43,54%,234,51.0,4%,32.8,13%
Ruby,Six Zero,$200.00,PBEFFECT,https://a8qh.short.gy/ruby,2023,Hybrid,Kevlar,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.25,8.33,Low,,117,60%,6.81,78%,238,52.0,18%,33.3,27%
Ruby (14mm),Six Zero,$199.99,PBEFFECT,https://a8qh.short.gy/R14,2024,Hybrid,Kevlar,Raw Texture/Peel Ply,Gen 2,Power,14,5.50,4.25,8.10,Very High,1965,114,38%,6.53,61%,238,53.5,52%,34.8,88%
Sapphire,Six Zero,$99.99,PBEFFECT,https://a8qh.short.gy/Sap,2023,Elongated,Carbon,Paint Grit,Gen 1.5,Power,13,5.50,4.25,7.90,,,111,22%,5.40,2%,224,,,,
Sapphire V2,Six Zero,$139.99,PBEFFECT,https://a8qh.short.gy/SV2,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Power,13,5.60,4.25,7.85,,,116,54%,6.19,38%,241,,,,
Infinity Ruby,Six Zero,$220.00,PBEFFECT,https://a8qh.short.gy/IR,2024,Hybrid,Kevlar,Raw Texture/Peel Ply,Gen 2/Edgeless,Control,16,5.50,4.25,8.50,,,116,54%,6.00,27%,234,,,,
Halo Control Max,SLK,$139.99,INF-BRAYDONU,https://a8qh.short.gy/halo,2022,Standard,Carbon,Raw Texture/Peel Ply,Gen 1,Control,16,4.75,4.50,7.94,,,111,22%,6.94,85%,237,,,,
