Paddle Name,Brand,Price,Year Released,Shape,Face Material,Grit Type,Build Type,Paddle Type,Core Thickness (mm),Handle Length (in),Weight (oz),Spin Rating,Spin (RPM),Swingweight,Swingweight Percentile,Twistweight,Twistweight Percentile,Balance Point (mm),Power (MPH),Power Percentile,Pop (MPH),Pop Percentile,Link to Paddle,Discount Code
Halo Control Max (2024 version),SLK,$130.00,2024,Standard,Carbon,Raw Texture/Peel Ply,Gen 1,Control,16,4.85,7.90,Very High,1983,110,16%,6.77,77%,237,52.2,24%,32.3,7%,https://a8qh.short.gy/HCM,INF-BRAYDONU
Halo Control XL,SLK,$139.99,2022,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Control,16,5.60,8.10,Medium,,122,81%,6.07,32%,244,,,,,https://a8qh.short.gy/halo,INF-BRAYDONU
Halo Power Max,SLK,$139.99,2022,Standard,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,13,4.75,7.97,Medium,,110,16%,6.54,62%,234,,,,,https://a8qh.short.gy/halo,INF-BRAYDONU
Halo Power Max (2024 version),SLK,$130.00,2024,Standard,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,13,4.85,7.70,Very High,2000,103,1%,6.81,80%,231,53.6,60%,33.7,47%,https://a8qh.short.gy/HPM,INF-BRAYDONU
Halo Power XL,SLK,$139.99,2022,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,13,5.60,7.97,Medium,,120,73%,5.59,6%,245,,,,,https://a8qh.short.gy/halo,INF-BRAYDONU
Halo Pro Max,SLK,$150.00,2024,Standard,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,14,4.85,7.92,High,1953,108,9%,7.00,88%,234,53.2,46%,33.5,38%,https://a8qh.short.gy/Mpro,INF-BRAYDONU
Halo Pro XL,SLK,$150.00,2024,Elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.75,7.98,High,1939,120,73%,5.90,23%,245,53.7,64%,34.5,77%,https://a8qh.short.gy/SLKPXL ,INF-BRAYDONU
Apollo,Spartus,$129.99,2024,Widebody,Kevlar,Raw Texture/Peel Ply,Gen 2,Control,16,5.50,8.07,High,1927,108,9%,7.54,99%,232,51.6,16%,33.0,22%,https://a8qh.short.gy/Apollo,10EFFECT
Ballista,Spartus,$159.99,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2/Edgeless,All-Court,16,5.50,7.94,,,113,31%,5.59,6%,239,,,,,https://a8qh.short.gy/B,10EFFECT
Gladius Centurion,Spartus,$99.99,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.50,7.98,,,121,77%,6.06,32%,243,,,,,https://a8qh.short.gy/GC,10EFFECT
Olympus,Spartus,$199.99,2024,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 3,All-Court,14,5.50,8.00,Very High,2043,113,31%,6.32,48%,238,53.8,67%,34.4,75%,https://a8qh.short.gy/SO,10EFFECT
Cryo 16,Speed Up,,2024,Elongated,,Raw Texture/Peel Ply,,,16,6.25,8.33,,,125,94%,6.30,47%,243,,,,,unreleased,
Pyro 16,Speed Up,,2024,Elongated,,Raw Texture/Peel Ply,,,16,6.25,8.30,,,123,86%,5.97,27%,243,,,,,unreleased,
515-Uni,Thompson,$249.99,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen1/Edgeless,,14,5.25,8.27,Very High,1981,108,9%,6.63,69%,226,53.5,55%,35.0,92%,https://a8qh.short.gy/515U,N/A
