Company,Paddle,Price,Swing weight,Twist weight,Balance,My paddles weight,Core thickness in mm,Grip length,Grip thickness,RPM,Shape,Face Material,Core Material,Youtube Review,Link to purchase,Discount code,Aa ignore,No ID,Grams,
Vatic Pro,Saga Flash LH,149.99,120,6.1,245,8.12,16,5.5,4.125,2001,Hybrid,Raw carbon fiber,Polymer Honeycomb,https://www.youtube.com/watch?v=eOanmIXJZkM&t=393s&ab_channel=PickleballStudio,https://bit.ly/3Cx9Jde,PBSTUDIO $10 OFF,,459,230.26,
Vatic Pro,Saga v7 SH,149.99,119,6.58,241,8.09,16,5.3,4.125,1991,Elongated,Raw carbon fiber,Polymer Honeycomb,https://www.youtube.com/watch?v=eOanmIXJZkM&t=393s&ab_channel=PickleballStudio,https://bit.ly/3YTMb9G,PBSTUDIO $10 OFF,,460,229.3,
Vatic Pro,Saga v7 LH,149.99,124,6.39,235,8.32,16,5.5,4.125,1962,Elongated,Raw carbon fiber,Polymer Honeycomb,https://www.youtube.com/watch?v=eOanmIXJZkM&t=393s&ab_channel=PickleballStudio,https://bit.ly/3YTMb9G,PBSTUDIO $10 OFF,,461,235.84,
Vatic Pro,Saga Bloom 16mm,149.99,111,6.96,238,8.03,16,,,,Wide body,Raw carbon fiber,Polymer Honeycomb,,,PBSTUDIO $10 OFF,,487,227.78,
Versix,Vector XL,129.99,119,6.58,242,8.29,15,5.75,4.25,,Elongated,Raw carbon fiber,Polymer Honeycomb,,,PBSTUDIO 15% OFF,,428,235,PBSTUDIO
Volair,Mach 1 16mm,159.99,114,6,237,8.05,16,5.5,4.3,1941,Elongated,Raw carbon fiber,Polymer Honeycomb,https://www.youtube.com/watch?v=pujwtlQedWU&t=3s&ab_channel=PickleballStudio,http://bit.ly/3QCnMRu,PBSTUDIO for 10% OFF,,140,228.2,PBSTUDIO
Volair,Mach 1 14mm,159.99,114,5.87,239,8.01,14,5.5,4.3,1997,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3Leff66,PBSTUDIO for 10% OFF,,249,227.1,
Volair,Mach 1 Forza 16mm,179.99,117,6.56,223,7.87,16,5.5,4.25,2018,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/45KhuX0,PBSTUDIO 10% OFF,,208,223.1,
Volair,Mach 1 Forza 14mm,179.99,111,5.99,,0,14,5.5,4.125,2083,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/44JSaz0,PBSTUDIO 10% OFF,,248,,
Volair,Mach 2 Forza 16mm,179.99,110,7.22,235,8.02,16,5.5,4.25,2139,Wide body,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3GvHH0w,PBSTUDIO 10% OFF,,292,227.3,
Volair,Mach 2 Forza 14mm,179.99,106,6.82,235,7.66,14,5.5,4.125,2142,Wide body,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3GvHH0w,PBSTUDIO 10% OFF,,293,217.2,
Volair,CTRL1 Forza 16mm,199.99,114,6.07,240,7.96,16,5.5,4.125,1887,Elongated,Kevlar,Polymer Honeycomb,,,PBSTUDIO 10% OFF,,446,225.56,
Volair,CTRL2 Forza 16mm,199.99,108,7.18,235,8.08,16,5.5,4.125,1840,Wide body,Kevlar,Polymer Honeycomb,,,PBSTUDIO 10% OFF,,447,229.2,
